price,num_bedrooms,num_bathrooms,num_toilet,location,property_type
15000000,4,4,4,victoria island,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS
12000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
16000000,4,4,4,adeola odeku,4 BEDROOM FLAT 
12000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
8000000,3,3,3,adeola odeku,3 BEDROOM FLAT 
10000000,4,4,4,off alexander,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OFF ALEXANDER ROAD IKOYI LAGOS
7000000,2,2,2,eko atlantic,2 BEDROOM FLAT 
15000000,4,4,4,victoria island,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS
12000000,3,3,3,ahmadu bello,3 BEDROOM FLAT 
8000000,3,3,4,off alexander,3 BEDROOM FLAT 
7500000,2,2,2,banana island,2 BEDROOM FLAT 
18000000,3,3,3,victoria island,3 BEDROOM FLAT 
5500000,5,5,6,ikate lekki,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT IKATE LEKKI LAGOS
2500000,3,3,4,ikate lekki,3 BEDROOM FLAT 
5000000,5,5,6,lekki phase,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
12000000,3,3,4,old ikoyi,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
8500000,3,3,4,old ikoyi,3 BEDROOM FLAT 
10000000,3,3,4,old ikoyi,3 BEDROOM FLAT 
6000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
4500000,2,2,3,lekki phase,2 BEDROOM FLAT 
8000000,2,2,3,old ikoyi,2 BEDROOM FLAT 
13000000,2,2,3,old ikoyi,2 BEDROOM FLAT 
2500000,2,2,3,lekki phase,2 BEDROOM FLAT 
9000000,5,5,7,victoria island,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND VICTORIA ISLAND LAGOS
4000000,4,4,5,oniru victoria,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT ONIRU VICTORIA ISLAND LAGOS
2000000,1,1,0,lekki phase,1 BEDROOM MINI FLAT FLAT 
4500000,4,4,5,chevron lekki,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI LAGOS
3000000,2,2,3,lekki phase,2 BEDROOM FLAT 
4000000,4,4,5,ikate elegushi,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IKATE ELEGUSHI LEKKI IKATE LEKKI LAGOS
3800000,4,4,4,toyin street,4 BEDROOM OFFICE SPACE COMMERCIAL PROPERTY FOR RENT AMORE TOYIN STREET IKEJA LAGOS
6000000,4,4,5,lekki phase,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
4000000,4,4,4,allen avenue,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT ALLEN AVENUE IKEJA LAGOS
7500000,3,3,4,banana island,3 BEDROOM FLAT 
1000000,1,1,0,lekki phase,1 BEDROOM MINI FLAT FLAT 
4000000,3,3,4,lekki phase,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
10000000,3,3,4,old ikoyi,3 BEDROOM FLAT 
4000000,3,3,4,lekki phase,3 BEDROOM FLAT 
1700000,1,1,0,lekki phase,1 BEDROOM MINI FLAT FLAT 
3000000,3,3,4,ikate lekki,3 BEDROOM FLAT 
15000000,4,4,5,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
2300000,3,3,4,ikate lekki,3 BEDROOM FLAT 
3500000,3,3,4,lekki phase,3 BEDROOM FLAT 
4500000,5,5,6,ikate elegushi,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT IKATE ELEGUSHI LEKKI LAGOS
3000000,5,5,5,agungi lekki,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT AGUNGI LEKKI LAGOS
700000,1,1,1,lekki phase,1 BEDROOM MINI FLAT FLAT 
2000000,2,2,3,ikate lekki,2 BEDROOM FLAT 
900000,1,0,0,lekki phase,SELF CONTAIN FLAT 
8500000,3,3,4,old ikoyi,3 BEDROOM FLAT 
11000000,4,4,5,old ikoyi,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
2500000,3,3,4,osapa london,3 BEDROOM FLAT 
4000000,4,4,5,lekki phase,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS
3000000,3,3,4,lekki phase,3 BEDROOM FLAT 
5000000,3,3,4,oniru victoria,3 BEDROOM FLAT 
3000000,4,4,5,ajah lagos,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT AJAH LAGOS
3000000,5,5,6,platinum estate,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT PLATINUM ESTATE JAKANDE LEKKI LAGOS
12500000,3,3,3,old ikoyi,3 BEDROOM FLAT 
13000000,3,3,3,banana island,3 BEDROOM FLAT 
10000000,3,3,3,victoria island,3 BEDROOM FLAT 
12500000,3,3,3,old ikoyi,3 BEDROOM FLAT 
13000000,3,3,3,banana island,3 BEDROOM FLAT 
10000000,3,3,3,victoria island,3 BEDROOM FLAT 
12500000,3,3,3,old ikoyi,3 BEDROOM FLAT 
13000000,3,3,3,banana island,3 BEDROOM FLAT 
10000000,3,3,3,victoria island,3 BEDROOM FLAT 
6000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
9000000,3,3,4,ikoyi lagos,3 BEDROOM FLAT 
5000000,1,1,1,old ikoyi,1 BEDROOM MINI FLAT FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
700000,2,2,2,off ifako,2 BEDROOM FLAT 
12000000,3,3,3,eko atlantic,3 BEDROOM FLAT 
12000000,4,4,4,old ikoyi,4 BEDROOM PENTHOUSE FLAT 
15000000,5,5,6,osborne foreshore,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OSBORNE FORESHORE ESTATE IKOYI LAGOS
17000000,4,4,4,eko atlantic,4 BEDROOM PENTHOUSE FLAT 
7000000,2,2,2,old ikoyi,2 BEDROOM FLAT 
5000000,2,2,2,old ikoyi,2 BEDROOM FLAT 
6000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
6500000,4,4,4,bourdillon ikoyi,4 BEDROOM FLAT 
5000000,3,3,4,victoria island,3 BEDROOM FLAT 
7000000,4,4,4,old ikoyi,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS
8000000,4,4,4,old ikoyi,4 BEDROOM FLAT 
8000000,3,3,3,adeola odeku,3 BEDROOM FLAT 
18000000,4,4,4,victoria island,4 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
15000000,3,3,3,eko atlantic,3 BEDROOM PENTHOUSE FLAT 
10000000,3,3,3,old ikoyi,3 BEDROOM FLAT 
