property_title,property_location,property_price,property_features,property_link
3 BEDROOM MASSIONETTE HOUSE FOR RENT BANANA ISLAND BANANA ISLAND IKOYI LAGOS,Banana Island Banana Island Ikoyi Lagos,"₦ 15,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-massionette-house-for-rent-banana-island-banana-island-ikoyi-lagos-6CNEM
OFFICE SPACE COMMERCIAL PROPERTY FOR RENT OREGUN IKEJA LAGOS,Oregun Ikeja Lagos,"₦ 3,000,000",bed bath 4 toilet,https://www.propertypro.ng/property/office-space-commercial-property-for-rent-oregun-ikeja-lagos-3DAKR
WAREHOUSE COMMERCIAL PROPERTY FOR RENT OREGUN IKEJA LAGOS,Oregun Ikeja Lagos,"₦ 20,000,000",bed bath toilet,https://www.propertypro.ng/property/warehouse-commercial-property-for-rent-oregun-ikeja-lagos-8CTLJ
"BLOCKS OF FLATS HOUSE FOR RENT OFF ALLEN AVENUE, IKEJA ALLEN AVENUE IKEJA LAGOS","Off Allen Avenue, Ikeja Allen Avenue Ikeja Lagos","₦ 4,000,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-off-allen-avenue-ikeja-allen-avenue-ikeja-lagos-9DGME
2 BEDROOM SHARED APARTMENT FLAT / APARTMENT FOR RENT ONDO STREET OSBORNE FORESHORE ESTATE IKOYI LAGOS,Ondo Street Osborne Foreshore Estate Ikoyi Lagos,"₦ 4,000,000",2 bed 2 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-shared-apartment-flat-apartment-for-rent-ondo-street-osborne-foreshore-estate-ikoyi-lagos-7DKTW
"RESIDENTIAL LAND LAND FOR RENT @ OFF SOBO AROBIODU GRA IKEJA, LAGOS IKEJA GRA IKEJA LAGOS","@ Off Sobo Arobiodu Gra Ikeja, Lagos Ikeja Gra Ikeja Lagos","₦ 150,000,000",bed bath toilet,https://www.propertypro.ng/property/residential-land-land-for-rent-off-sobo-arobiodu-gra-ikeja-lagos-ikeja-gra-ikeja-lagos-2CMKE
BLOCKS OF FLATS HOUSE FOR RENT OFF ALLEN. ALLEN AVENUE IKEJA LAGOS,Off Allen. Allen Avenue Ikeja Lagos,"₦ 1,500,000",bed bath toilet,https://www.propertypro.ng/property/blocks-of-flats-house-for-rent-off-allen-allen-avenue-ikeja-lagos-9DJDN
HOUSE FOR RENT LEKKI PHASE1 LEKKI LAGOS,Lekki Phase1 Lekki Lagos,"₦ 3,500,000",bed bath toilet,https://www.propertypro.ng/property/house-for-rent-lekki-phase1-lekki-lagos-2DMRD
2 BEDROOM FLAT / APARTMENT FOR RENT SURULERE LAGOS,Surulere Lagos,"₦ 2,000,000",2 bed bath toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-surulere-lagos-5DMCZ
3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT OPIC ISHERI NORTH OJODU LAGOS,Opic Isheri North Ojodu Lagos,"₦ 1,100,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-blocks-of-flats-house-for-rent-opic-isheri-north-ojodu-lagos-0DJHL
HOUSE FOR RENT IKOTA VILLA ESTATE BESIDE MEGA CHICKEN IKOTA LEKKI LAGOS,Ikota Villa Estate Beside Mega Chicken Ikota Lekki Lagos,"₦ 2,800,000",bed bath toilet,https://www.propertypro.ng/property/house-for-rent-ikota-villa-estate-beside-mega-chicken-ikota-lekki-lagos-6DFMY
3 BEDROOM FLAT / APARTMENT FOR RENT LEKKI PHASE 1 LEKKI LAGOS,Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",3 bed 4 bath 5 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-lekki-phase-1-lekki-lagos-0CSNB
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IKATE LEKKI LAGOS,Ikate Lekki Lagos,"₦ 3,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-ikate-lekki-lagos-2DHPT
