property_title,property_location,property_price,property_features,property_link
SHOP IN A MALL COMMERCIAL PROPERTY FOR RENT ONIRU VICTORIA ISLAND LAGOS,Oniru Victoria Island Lagos,"₦ 1,870,000",bed bath toilet,https://www.propertypro.ng/property/shop-in-a-mall-commercial-property-for-rent-oniru-victoria-island-lagos-8DGXV
"LAND FOR RENT OCEANSIDE, LEKKI LEKKI PHASE 1 LEKKI LAGOS","Oceanside, Lekki Lekki Phase 1 Lekki Lagos","₦ 110,840,000",bed bath toilet,https://www.propertypro.ng/property/land-for-rent-oceanside-lekki-lekki-phase-1-lekki-lagos-9DLFG
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT IKEJA GRA IKEJA GRA IKEJA LAGOS,Ikeja Gra Ikeja Gra Ikeja Lagos,"₦ 5,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-ikeja-gra-ikeja-gra-ikeja-lagos-6CRRK
3 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7CSKN
2 BEDROOM FLAT / APARTMENT FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 7,500,000",2 bed bath toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-5CSQH
3 BEDROOM FLAT / APARTMENT FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 9,500,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-7CSQH
6 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 20,000,000",6 bed bath toilet,https://www.propertypro.ng/property/6-bedroom-penthouse-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-6CSTB
3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 15,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-blocks-of-flats-house-for-rent-victoria-island-lagos-6CSTC
2 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 10,000,000",2 bed 2 bath 2 toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-victoria-island-lagos-3CUSU
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-8CUKV
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT AHMADU BELLO WAY VICTORIA ISLAND LAGOS,Ahmadu Bello Way Victoria Island Lagos,"₦ 17,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-ahmadu-bello-way-victoria-island-lagos-6CSKK
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 15,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-victoria-island-lagos-3CTEV
4 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 8,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-2CTGT
3 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT OFF ADEOLA ODEKU VI ADEOLA ODEKU VICTORIA ISLAND LAGOS,Off Adeola Odeku Vi Adeola Odeku Victoria Island Lagos,"₦ 9,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-boys-quarters-flat-apartment-for-rent-off-adeola-odeku-vi-adeola-odeku-victoria-island-lagos-0CZFL
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OFF KINGSWAY OLD IKOYI IKOYI LAGOS,Off Kingsway Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-off-kingsway-old-ikoyi-ikoyi-lagos-7CZSF
2 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT OFF KINGSWAY OLD IKOYI IKOYI LAGOS,Off Kingsway Old Ikoyi Ikoyi Lagos,"₦ 7,000,000",2 bed 3 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-boys-quarters-flat-apartment-for-rent-off-kingsway-old-ikoyi-ikoyi-lagos-7CZSJ
5 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OFF ALEXANDER OLD IKOYI IKOYI LAGOS,Off Alexander Old Ikoyi Ikoyi Lagos,"₦ 25,000,000",5 bed 5 bath 6 toilet,https://www.propertypro.ng/property/5-bedroom-penthouse-flat-apartment-for-rent-off-alexander-old-ikoyi-ikoyi-lagos-1DAMZ
2 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OFF ADEOLA ODEKU VI ADEOLA ODEKU VICTORIA ISLAND LAGOS,Off Adeola Odeku Vi Adeola Odeku Victoria Island Lagos,"₦ 6,000,000",2 bed 2 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-penthouse-flat-apartment-for-rent-off-adeola-odeku-vi-adeola-odeku-victoria-island-lagos-1DCEX
3 BEDROOM FLAT / APARTMENT FOR RENT BOURDILLON OLD IKOYI IKOYI LAGOS,Bourdillon Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-bourdillon-old-ikoyi-ikoyi-lagos-0DFRR
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OFF AJOSE ADEOGUN ADEMOLA ADETOKUNBO VICTORIA ISLAND LAGOS,Off Ajose Adeogun Ademola Adetokunbo Victoria Island Lagos,"₦ 20,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-off-ajose-adeogun-ademola-adetokunbo-victoria-island-lagos-8CZAM
LAND FOR RENT ADEOLA ODEKU VICTORIA ISLAND LAGOS,Adeola Odeku Victoria Island Lagos,"₦ 25,000,000",bed bath toilet,https://www.propertypro.ng/property/land-for-rent-adeola-odeku-victoria-island-lagos-2CVJE
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 24,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-victoria-island-lagos-8CVJF
3 BEDROOM FLAT / APARTMENT FOR RENT IKOYI LAGOS,Ikoyi Lagos,"₦ 10,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-lagos-6DGWF
5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OFF ALEXANDER ROAD IKOYI LAGOS,Off Alexander Road Ikoyi Lagos,"₦ 50,000,000",5 bed 5 bath 5 toilet,https://www.propertypro.ng/property/5-bedroom-detached-duplex-house-for-rent-off-alexander-road-ikoyi-lagos-6CVFH
5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS,Lekki Phase 1 Lekki Lagos,"₦ 10,000,000",5 bed 5 bath 6 toilet,https://www.propertypro.ng/property/5-bedroom-semi-detached-duplex-house-for-rent-lekki-phase-1-lekki-lagos-3DMFF
3 BEDROOM FLAT / APARTMENT FOR RENT ONIRU ESTATE ONIRU VICTORIA ISLAND LAGOS,Oniru Estate Oniru Victoria Island Lagos,"₦ 4,500,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-oniru-estate-oniru-victoria-island-lagos-2CXPL
3 BEDROOM FLAT / APARTMENT FOR RENT GERRARD OLD IKOYI IKOYI LAGOS,Gerrard Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-gerrard-old-ikoyi-ikoyi-lagos-3CSHN
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT GLOVER ROAD IKOYI LAGOS,Glover Road Ikoyi Lagos,"₦ 9,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-glover-road-ikoyi-lagos-6DJED
3 BEDROOM FLAT / APARTMENT FOR RENT IKATE LEKKI LAGOS,Ikate Lekki Lagos,"₦ 3,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-4DMAD
1 BEDROOM MINI FLAT STUDIO APARTMENT FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 9,000,000",1 bed bath toilet,https://www.propertypro.ng/property/1-bedroom-mini-flat-studio-apartment-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-0CSMF
OFFICE SPACE COMMERCIAL PROPERTY FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",bed bath toilet,https://www.propertypro.ng/property/office-space-commercial-property-for-rent-old-ikoyi-ikoyi-lagos-0CSTD
2 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 5,000,000",2 bed bath toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-victoria-island-lagos-4CSTD
3 BEDROOM FLAT / APARTMENT FOR RENT GERARD ROAD IKOYI LAGOS,Gerard Road Ikoyi Lagos,"₦ 10,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-gerard-road-ikoyi-lagos-5CTBR
1 BEDROOM MINI FLAT STUDIO APARTMENT FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 9,000,000",1 bed bath toilet,https://www.propertypro.ng/property/1-bedroom-mini-flat-studio-apartment-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-0CTEX
4 BEDROOM FLAT / APARTMENT FOR RENT OFF BOURDILLON OLD IKOYI IKOYI LAGOS,Off Bourdillon Old Ikoyi Ikoyi Lagos,"₦ 16,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-off-bourdillon-old-ikoyi-ikoyi-lagos-2DDAL
5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 20,000,000",5 bed 5 bath 5 toilet,https://www.propertypro.ng/property/5-bedroom-detached-duplex-house-for-rent-old-ikoyi-ikoyi-lagos-2CUKW
OFFICE SPACE COMMERCIAL PROPERTY FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 35,000,000",bed bath toilet,https://www.propertypro.ng/property/office-space-commercial-property-for-rent-victoria-island-lagos-0CUKX
3 BEDROOM FLAT / APARTMENT FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 16,000,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-9CUVP
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT BOURDILLON IKOYI LAGOS,Bourdillon Ikoyi Lagos,"₦ 200,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-bourdillon-ikoyi-lagos-6CUVT
COMMERCIAL PROPERTY FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 35,000,000",bed bath toilet,https://www.propertypro.ng/property/commercial-property-for-rent-victoria-island-lagos-6CUXY
3 BEDROOM FLAT / APARTMENT FOR RENT EKO ATLANTIC VICTORIA ISLAND LAGOS,Eko Atlantic Victoria Island Lagos,"₦ 10,000,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-eko-atlantic-victoria-island-lagos-8CVCE
4 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7CWEX
OFFICE SPACE COMMERCIAL PROPERTY FOR RENT OFF ALEXANDER ROAD IKOYI LAGOS,Off Alexander Road Ikoyi Lagos,"₦ 70,000,000",bed bath toilet,https://www.propertypro.ng/property/office-space-commercial-property-for-rent-off-alexander-road-ikoyi-lagos-6DGYM
3 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 7,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-8DJFG
3 BEDROOM FLAT / APARTMENT FOR RENT OFF AHMADU BELLO AHMADU BELLO WAY VICTORIA ISLAND LAGOS,Off Ahmadu Bello Ahmadu Bello Way Victoria Island Lagos,"₦ 8,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-off-ahmadu-bello-ahmadu-bello-way-victoria-island-lagos-2DFVN
4 BEDROOM FLAT / APARTMENT FOR RENT WILLIAMS ESTATE OFF BABS ANIMASHAUN BODE THOMAS SURULERE LAGOS,Williams Estate Off Babs Animashaun Bode Thomas Surulere Lagos,"₦ 2,500,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-williams-estate-off-babs-animashaun-bode-thomas-surulere-lagos-8DNFP
4 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT OFF ADEOLA ODEKU ADEOLA ODEKU VICTORIA ISLAND LAGOS,Off Adeola Odeku Adeola Odeku Victoria Island Lagos,"₦ 18,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-boys-quarters-flat-apartment-for-rent-off-adeola-odeku-adeola-odeku-victoria-island-lagos-0CZCN
4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT OFF ALEXANDER OLD IKOYI IKOYI LAGOS,Off Alexander Old Ikoyi Ikoyi Lagos,"₦ 9,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-terraced-duplex-house-for-rent-off-alexander-old-ikoyi-ikoyi-lagos-3CZUR
OFFICE SPACE COMMERCIAL PROPERTY FOR RENT BOURDILLON BOURDILLON IKOYI LAGOS,Bourdillon Bourdillon Ikoyi Lagos,"₦ 20,000,000",bed bath toilet,https://www.propertypro.ng/property/office-space-commercial-property-for-rent-bourdillon-bourdillon-ikoyi-lagos-8DGYM
5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 25,000,000",5 bed bath toilet,https://www.propertypro.ng/property/5-bedroom-detached-duplex-house-for-rent-old-ikoyi-ikoyi-lagos-4CSXD
3 BEDROOM FLAT / APARTMENT FOR RENT ADEOLA ODEKU VICTORIA ISLAND LAGOS,Adeola Odeku Victoria Island Lagos,"₦ 15,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-adeola-odeku-victoria-island-lagos-8CSKT
3 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-0CTEU
LAND FOR RENT OZUMBA MBADIWE VICTORIA ISLAND LAGOS,Ozumba Mbadiwe Victoria Island Lagos,"₦ 45,000,000",bed bath toilet,https://www.propertypro.ng/property/land-for-rent-ozumba-mbadiwe-victoria-island-lagos-9CTEV
2 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 5,000,000",2 bed bath toilet,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-victoria-island-lagos-5CSES
3 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 14,000,000",3 bed 0 bath 0 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-2CSET
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 15,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-4CSHN
3 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 130,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-6CSHN
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-0CUND
4 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 8,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-1CUND
4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 15,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-semi-detached-duplex-house-for-rent-banana-island-ikoyi-lagos-4CUVU
5 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 25,000,000",5 bed 5 bath 5 toilet,https://www.propertypro.ng/property/5-bedroom-penthouse-flat-apartment-for-rent-victoria-island-lagos-6CVJE
3 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 15,000,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-5CVJG
4 BEDROOM FLAT / APARTMENT FOR RENT BOURDILLON IKOYI LAGOS,Bourdillon Ikoyi Lagos,"₦ 6,500,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-bourdillon-ikoyi-lagos-7CVJQ
3 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 9,000,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-4CUKV
2 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT IKOYI LAGOS,Ikoyi Lagos,"₦ 14,000,000",2 bed 2 bath 3 toilet,https://www.propertypro.ng/property/2-bedroom-penthouse-flat-apartment-for-rent-ikoyi-lagos-5DLVZ
3 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS,Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-semi-detached-duplex-house-for-rent-lekki-phase-1-lekki-lagos-3DLYN
3 BEDROOM DETACHED BUNGALOW HOUSE FOR RENT OFF ADENIRAN OGUNSANYA ADENIRAN OGUNSANYA SURULERE LAGOS,Off Adeniran Ogunsanya Adeniran Ogunsanya Surulere Lagos,"₦ 1,500,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-detached-bungalow-house-for-rent-off-adeniran-ogunsanya-adeniran-ogunsanya-surulere-lagos-7CSHP
3 BEDROOM MASSIONETTE HOUSE FOR RENT GERARD ROAD IKOYI LAGOS,Gerard Road Ikoyi Lagos,"₦ 10,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-massionette-house-for-rent-gerard-road-ikoyi-lagos-7CTEV
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT BANANA ISLAND IKOYI LAGOS,Banana Island Ikoyi Lagos,"₦ 15,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-banana-island-ikoyi-lagos-0CTEY
5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 9,000,000",5 bed bath toilet,https://www.propertypro.ng/property/5-bedroom-semi-detached-duplex-house-for-rent-old-ikoyi-ikoyi-lagos-1CSES
4 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 16,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-victoria-island-lagos-3CSET
3 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT AHMADU BELLO WAY VICTORIA ISLAND LAGOS,Ahmadu Bello Way Victoria Island Lagos,"₦ 15,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-penthouse-flat-apartment-for-rent-ahmadu-bello-way-victoria-island-lagos-5CSKK
4 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 12,000,000",4 bed bath toilet,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-8CSTB
3 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 6,000,000",3 bed bath toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-6CSTD
DETACHED DUPLEX HOUSE FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 35,000,000",bed bath toilet,https://www.propertypro.ng/property/detached-duplex-house-for-rent-victoria-island-lagos-9CSXD
5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OSAPA LONDON LEKKI LAGOS,Osapa London Lekki Lagos,"₦ 280,000,000",5 bed 6 bath 6 toilet,https://www.propertypro.ng/property/5-bedroom-detached-duplex-house-for-rent-osapa-london-lekki-lagos-6DMGC
3 BEDROOM FLAT / APARTMENT FOR RENT IKOYI LAGOS,Ikoyi Lagos,"₦ 7,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-ikoyi-lagos-1DJFH
MIXED USE LAND LAND FOR RENT OFF OZUMBA MBADIWE KOFO ABAYOMI VICTORIA ISLAND LAGOS,Off Ozumba Mbadiwe Kofo Abayomi Victoria Island Lagos,"₦ 35,000,000",bed bath toilet,https://www.propertypro.ng/property/mixed-use-land-land-for-rent-off-ozumba-mbadiwe-kofo-abayomi-victoria-island-lagos-9DGWH
4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT CHEVRON LEKKI LAGOS,Chevron Lekki Lagos,"₦ 4,200,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-semi-detached-duplex-house-for-rent-chevron-lekki-lagos-4CUER
3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT LEKKI PHASE 1 LEKKI LAGOS,Lekki Phase 1 Lekki Lagos,"₦ 4,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-terraced-duplex-house-for-rent-lekki-phase-1-lekki-lagos-9DMAC
3 BEDROOM BOYS QUARTERS FLAT / APARTMENT FOR RENT HIGHWAY OLD IKOYI IKOYI LAGOS,Highway Old Ikoyi Ikoyi Lagos,"₦ 7,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-boys-quarters-flat-apartment-for-rent-highway-old-ikoyi-ikoyi-lagos-4DAQY
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OFF AJOSE ADEOGUN ADEMOLA ADETOKUNBO VICTORIA ISLAND LAGOS,Off Ajose Adeogun Ademola Adetokunbo Victoria Island Lagos,"₦ 20,000,000",4 bed 4 bath 5 toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-off-ajose-adeogun-ademola-adetokunbo-victoria-island-lagos-8CZFL
3 BEDROOM OFFICE SPACE COMMERCIAL PROPERTY FOR RENT OFF QUEENSDRIVE OLD IKOYI IKOYI LAGOS,Off Queensdrive Old Ikoyi Ikoyi Lagos,"₦ 9,000,000",3 bed 3 bath 4 toilet,https://www.propertypro.ng/property/3-bedroom-office-space-commercial-property-for-rent-off-queensdrive-old-ikoyi-ikoyi-lagos-4CZSJ
COMMERCIAL PROPERTY FOR RENT EKO HOTEL OFF ADEMOLA ADETOKUNBO VICTORIA ISLAND LAGOS,Eko Hotel Off Ademola Adetokunbo Victoria Island Lagos,$ 500,bed bath toilet,https://www.propertypro.ng/property/commercial-property-for-rent-eko-hotel-off-ademola-adetokunbo-victoria-island-lagos-8DFUV
3 BEDROOM FLAT / APARTMENT FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,500,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-0CVCE
6 BEDROOM DETACHED DUPLEX HOUSE FOR RENT GERARD ROAD IKOYI LAGOS,Gerard Road Ikoyi Lagos,"₦ 40,000,000",6 bed 6 bath 6 toilet,https://www.propertypro.ng/property/6-bedroom-detached-duplex-house-for-rent-gerard-road-ikoyi-lagos-1CVCH
3 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 18,000,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-2CVJG
5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 8,000,000",5 bed 5 bath 5 toilet,https://www.propertypro.ng/property/5-bedroom-semi-detached-duplex-house-for-rent-old-ikoyi-ikoyi-lagos-9CUQM
3 BEDROOM FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 12,000,000",3 bed 3 bath 3 toilet,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-lagos-5CUSU
4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT VICTORIA ISLAND LAGOS,Victoria Island Lagos,"₦ 36,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-penthouse-flat-apartment-for-rent-victoria-island-lagos-4CUSV
4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT OLD IKOYI IKOYI LAGOS,Old Ikoyi Ikoyi Lagos,"₦ 7,000,000",4 bed 4 bath 4 toilet,https://www.propertypro.ng/property/4-bedroom-detached-duplex-house-for-rent-old-ikoyi-ikoyi-lagos-2CUSW
